Listing,Model,Platform,Carrier,Color,Storage,ListDate,ExpiredDate,SaleDate,Views,Quantity,Price,Condition,Title,Description,Damage,Sold
LUJG58356,Apple iPhone Xs,iOS,Sprint,Gray,64 GB,"Aug 27, 2020",,"Sep 04, 2020",43,1,475,Good,,"
9/10  64gb SPRINT  Iphone Xs A1920 Deal!!
Please Note: This 64gb Iphone Xs is in excellent  condition, showing very light signs of use   Screen is in very good condition with a small amount of unobtrusive light scratching. The phone  comes with protective skin and tempered glass screen protector having been applied, cable, charger,   and  a Trianium Atomic Pro protective 4000mah  battery case  for top  protection and extra juice on the go. Ready to Rock on  Sprint /Tmobile  networks!!   
BATT%: 87IOS:13.6.1
M3                                    5                                      5C
Thank you
And don't forget:I run the Fastest Ship in the West. Pay Today;Gone Tomorrow!
","
very light signs of use.
",Yes
LUJX47041,Apple iPhone Xs Max,iOS,Sprint,Silver,64 GB,"Sep 14, 2020","Sep 24, 2020",,22,1,525,Good,IPhone for sprint with accessories,Hey I've got and iPhone xs max in great condition has a screen protector on it which has some crack in it but there are no cracks or defect on the actual phone very well taken care of. The iPhone also comes with a battery case and regular case the battery case does have wear o. It but both the iphine and case are about a year old.Just the iphone by itself,No damage really maybe normal scrateha on sides.,
LUJL35289,Apple iPhone X,iOS,Sprint,Silver,64 GB,"Sep 02, 2020",,"Sep 05, 2020",54,1,379,Good,,"
This device is in good condition and everything works on it. it has 94% battery health remaining and 64 GB of memory. It is for use on the Sprint network. It will ship on the same business day you purchase it.
","
Normal signs of use. Some scratches. See photos.
",Yes
LUJD63226,Samsung Galaxy Note 10 Plus,Android,Sprint,Black,256 GB,"Aug 25, 2020",,"Sep 08, 2020",48,1,619,New,,"
brand new in box Samsung Galaxy Note 10 Plus
",,Yes
LUJM21059,Samsung Galaxy S10 Plus,Android,Sprint,White,128 GB,"Sep 03, 2020","Sep 21, 2020",,19,1,434,Good,,"
This is a used phone in good condition. Charger/USB Cord are NOT included. This device is unlocked from Sprint and it can be used with any carrier.
We do not ship internationally nor to any US territories. We may ship certain devices with “Signature Required Upon Deliver” at our discretion. We are not liable for arranging special pick up requests with the shipping carriers. We reserve the right to cancel orders if the buyer does not have a verified PayPal address.
We offer a 30-day warranty that begins once the device shows as delivered by the tracking method provided. Warranty only applies as long as the device is in the US. This does not cover physical damage, or any user mishandling that affects the usage of the device. We don't accept buyer's remorse returns.
OUR PRICES ARE FIRM. Please note that we will NOT respond to requests for reduced prices.
","
Front screen has no scratches. The rear glass has one or two faint scratches. There are few minor signs of wear near the charging port.
",
LUJY06914,Samsung Galaxy S10 Plus,Android,Sprint,Black,128 GB,"Sep 15, 2020","Sep 25, 2020",,4,1,450,Good,,"
Samsung Galaxy S10Plus 128GB Black SPRINT ONLY Great Condition ( see pictures ) No screen burn on the screen Fast& Free Shipping
","
Minor scratch on top (see pictures)
",
LUJD82818,Samsung Galaxy S10 Plus,Android,Sprint,White,128 GB,"Aug 25, 2020",,"Sep 10, 2020",85,0,499,Mint,,"
Like New Device» Mint Condition» Generic Box + NEW Accessories Included!» Factory Box IS NOT INCLUDED
Sprint + GSM Unlocked » Compatible with all GSM carriers worldwide» Includes: Sprint, AT&T, T-Mobile, Straight Talk, Metro PCS, Cricket, etc
» Every item sold by Adopt-A-Phone™ includes a 60 day warranty for manufacturer defects!  » Every device is 100% GUARANTEED!
",,Yes
LUJD27315,Samsung Galaxy S10 Plus,Android,Sprint,Black,128 GB,"Aug 25, 2020",,"Sep 10, 2020",80,0,449,Good,,"
Excellent Device» 7/10 Condition» Minor signs of use (light scratches/dings/blemishes)» Generic Box + NEW Accessories Included!» Factory Box IS NOT INCLUDED
Sprint + GSM Unlocked » Compatible with all GSM carriers worldwide» Includes: Sprint, AT&T, T-Mobile, Straight Talk, Metro PCS, Cricket, etc
» Every item sold by Adopt-A-Phone™ includes a 60 day warranty for manufacturer defects!  » Every device is 100% GUARANTEED!
",,Yes
LUJT88115,Samsung Galaxy S10,Android,Sprint,Black,128 GB,"Sep 10, 2020",,"Sep 13, 2020",18,1,429,Mint,,"
Phone tested 100% fully functional.
Phone is for Sprint
Cosmetic condition of the phone is excellent. Screen looks amazing!
Phone has all original parts and screen was never replaced!
Comes with phone only.Does not include charger or SIM Card.
We are a corporate seller with thousands of positive reviews on Swappa!
Buy with confidence and we accept returns from 14 days after purchase. We will give a 100% refund if the item is defective or not as described.
No waiting, we always ship the next business day!
Shipping & Handling:Orders will ship to the address provided to PayPal during checkout. Due to a recent PayPal policy change order cancellation will result in a non-refundable PayPal fee charge of 2.9%+$0.30
Returns:Buyer will pay for return shipping. Unwanted / Order by mistake will access a 20% restocking fee + initial shipping cost.
",,Yes
LUJY98903,OnePlus 7 Pro,Android,Sprint,Blue,256 GB,"Sep 15, 2020","Sep 25, 2020",,7,1,365,Mint,,"
Factory Unlocked, 100% Mint, it's brand new never used, still has the screen protector on, comes with original unused accessories includes a case, see attached chart for carrier compatibility https://www.bhphotovideo.com/c/product/802184229-USE/oneplus_opgm1925blu_oneplus_7_pro_256gb.html
Buy with confident, lighting fast shipping, please see my excellent 5 Stars feedback
",,
